Bezirksnummer;Bezirkname;Ortsteilnummer;Ortsteilname;Ist-Versorgung Gigabit Anzahl;Ist-Versorgung Gigabit Anteil (%);Ist-Versorgung Gigabit Veränderung zum Vorjahr (%);Ist-Versorgung Glasfaser Anzahl;Ist-Versorgung Glasfaser Anteil (%);Ist-Versorgung Glasfaser Veränderung zum Vorjahr (%);Ausbauprognose-2024 Gigabit Anzahl;Ausbauprognose-2024 Gigabit Anteil (%);Ausbauprognose-2024 Gigabit Veränderung zum Vorjahr (%);Ausbauprognose-2024 Glasfaser Anzahl;Ausbauprognose-2024 Glasfaser Anzahl Anteil (%);Ausbauprognose-2024 Glasfaser Anzahl Veränderung zum Vorjahr (%)
0;Land Berlin;0;Land Berlin;2,067,165;95.4;N/A;741,551;34.2;N/A;2,091,619;96.5;1.1;1,045,196;48.2;14
1;Mitte;101;Mitte;74,722;96.9;N/A;50,715;65.8;N/A;75,017;97.3;0.4;54,410;70.6;4.8
1;Mitte;102;Moabit;48,781;99.7;N/A;44,936;91.8;N/A;48,781;99.7;N/A;44,936;91.8;N/A
1;Mitte;103;Hansaviertel;3,596;100;N/A;3,590;99.8;N/A;3,596;100;N/A;3,590;99.8;N/A
1;Mitte;104;Tiergarten;10,764;98.8;N/A;7,552;69.3;N/A;10,766;98.9;0.1;7,565;69.5;0.2
1;Mitte;105;Wedding;45,820;98.8;N/A;19,960;43.1;N/A;45,862;98.9;0.1;27,644;59.6;16.5
1;Mitte;106;Gesundbrunnen;45,827;97.3;N/A;7,618;16.2;N/A;45,921;97.5;0.2;18,271;38.8;22.6
2;Friedrichshain-Kreuzberg;201;Friedrichshain;80,805;97;N/A;44,030;52.9;N/A;80,859;97.1;0.1;46,536;55.9;3
2;Friedrichshain-Kreuzberg;202;Kreuzberg;90,213;97.6;N/A;39,462;42.7;N/A;90,213;97.6;N/A;39,869;43.1;0.4
3;Pankow;301;Prenzlauer Berg;103,787;98.5;N/A;22,035;20.9;N/A;103,844;98.5;N/A;30,946;29.4;8.5
3;Pankow;302;Weißensee;31,153;97.2;N/A;23,234;72.5;N/A;31,608;98.7;1.5;27,149;84.7;12.2
3;Pankow;303;Blankenburg;2,769;71;N/A;413;10.6;N/A;2,773;71.1;0.1;418;10.7;0.1
3;Pankow;304;Heinersdorf;3,127;77.9;N/A;513;12.8;N/A;3,557;88.7;10.8;2,396;59.7;46.9
3;Pankow;305;Karow;5,353;56.7;N/A;69;0.7;N/A;5,353;56.7;N/A;69;0.7;N/A
3;Pankow;306;Stadtrandsiedlung Malchow;537;86.9;N/A;74;12;N/A;537;86.9;N/A;74;12;N/A
3;Pankow;307;Pankow;36,513;95;N/A;10,059;26.2;N/A;38,266;99.5;4.5;35,593;92.6;66.4
3;Pankow;308;Blankenfelde;23;2;N/A;1;0.1;N/A;23;2;N/A;1;0.1;N/A
3;Pankow;309;Buch;6,993;88.3;N/A;3,133;39.6;N/A;6,993;88.3;N/A;3,133;39.6;N/A
3;Pankow;310;Französisch Buchholz;7,622;71.9;N/A;280;2.6;N/A;7,622;71.9;N/A;280;2.6;N/A
3;Pankow;311;Niederschönhausen;16,589;95.3;N/A;5,943;34.2;N/A;16,591;95.4;0.1;5,945;34.2;N/A
3;Pankow;312;Rosenthal;3,568;75.4;N/A;1,702;36;N/A;3,568;75.4;N/A;1,704;36;N/A
3;Pankow;313;Wilhelmsruh;4,393;96.9;N/A;92;2;N/A;4,532;100;3.1;4,532;100;98
4;Charlottenburg-Wilmersdorf;401;Charlottenburg;89,351;99.1;N/A;58,749;65.2;N/A;89,866;99.7;0.6;77,213;85.6;20.4
4;Charlottenburg-Wilmersdorf;402;Wilmersdorf;63,028;98.7;N/A;36,893;57.8;N/A;63,598;99.6;0.9;48,702;76.3;18.5
4;Charlottenburg-Wilmersdorf;403;Schmargendorf;13,741;96.8;N/A;709;5;N/A;13,741;96.8;N/A;709;5;N/A
4;Charlottenburg-Wilmersdorf;404;Grunewald;6,611;93.4;N/A;271;3.8;N/A;6,611;93.4;N/A;271;3.8;N/A
4;Charlottenburg-Wilmersdorf;405;Westend;22,507;92.7;N/A;2,311;9.5;N/A;22,536;92.8;0.1;3,017;12.4;2.9
4;Charlottenburg-Wilmersdorf;406;Charlottenburg-Nord;10,184;97.5;N/A;332;3.2;N/A;10,184;97.5;N/A;332;3.2;N/A
4;Charlottenburg-Wilmersdorf;407;Halensee;10,476;99.9;N/A;9,792;93.3;N/A;10,481;99.9;N/A;9,800;93.4;0.1
5;Spandau;501;Spandau;22,256;98.2;N/A;11,008;48.6;N/A;22,294;98.3;0.1;11,279;49.7;1.1
5;Spandau;502;Haselhorst;9,231;96;N/A;1,693;17.6;N/A;9,250;96.2;0.2;1,791;18.6;1
5;Spandau;503;Siemensstadt;6,628;95;N/A;6,489;93;N/A;6,628;95;N/A;6,489;93;N/A
5;Spandau;504;Staaken;19,991;92.2;N/A;842;3.9;N/A;19,991;92.2;N/A;842;3.9;N/A
5;Spandau;505;Gatow;1,589;85.7;N/A;8;0.4;N/A;1,589;85.7;N/A;8;0.4;N/A
5;Spandau;506;Kladow;7,531;93.1;N/A;480;5.9;N/A;7,531;93.1;N/A;480;5.9;N/A
5;Spandau;507;Hakenfelde;16,323;97;N/A;5,408;32.1;N/A;16,333;97;N/A;5,452;32.4;0.3
5;Spandau;508;Falkenhagener Feld;19,176;99;N/A;382;2;N/A;19,176;99;N/A;382;2;N/A
5;Spandau;509;Wilhelmstadt;21,544;95;N/A;731;3.2;N/A;21,829;96.2;1.2;9,243;40.8;37.6
6;Steglitz-Zehlendorf;601;Steglitz;44,402;98.7;N/A;3,801;8.4;N/A;44,432;98.7;N/A;7,790;17.3;8.9
6;Steglitz-Zehlendorf;602;Lichterfelde;45,856;97.1;N/A;13,566;28.7;N/A;45,856;97.1;N/A;13,566;28.7;N/A
